geometry,density
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.7667399999999995,45.00899,0 7.773097999999999,45.00899,0 7.773097999999999,45.013485,0 7.7667399999999995,45.013485,0 7.7667399999999995,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.773097999999999,45.00899,0 7.779456,45.00899,0 7.779456,45.013485,0 7.773097999999999,45.013485,0 7.773097999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.576,45.013485,0 7.582357999999999,45.013485,0 7.582357999999999,45.01798,0 7.576,45.01798,0 7.576,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.582357999999999,45.013485,0 7.588716,45.013485,0 7.588716,45.01798,0 7.582357999999999,45.01798,0 7.582357999999999,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.588716,45.013485,0 7.595073999999999,45.013485,0 7.595073999999999,45.01798,0 7.588716,45.01798,0 7.588716,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.595073999999999,45.013485,0 7.601432,45.013485,0 7.601432,45.01798,0 7.595073999999999,45.01798,0 7.595073999999999,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.601432,45.013485,0 7.60779,45.013485,0 7.60779,45.01798,0 7.601432,45.01798,0 7.601432,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.60779,45.013485,0 7.614147999999999,45.013485,0 7.614147999999999,45.01798,0 7.60779,45.01798,0 7.60779,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",63
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.614147999999999,45.013485,0 7.620506,45.013485,0 7.620506,45.01798,0 7.614147999999999,45.01798,0 7.614147999999999,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",200
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.620506,45.013485,0 7.626863999999999,45.013485,0 7.626863999999999,45.01798,0 7.620506,45.01798,0 7.620506,45.013485,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",487
